place_name,place_type,year,quarter,value
אשקלון,עירייה,2015,4,2763.0
אשקלון,עירייה,2016,1,4159.0
אשקלון,עירייה,2016,2,3013.0
אשקלון,עירייה,2016,3,3570.0
אשקלון,עירייה,2016,4,2342.0
אשקלון,עירייה,2017,1,3326.0
אשקלון,עירייה,2017,2,1515.0
באקה אל ע'רביה,עירייה,2012,1,153.0
באקה אל ע'רביה,עירייה,2012,2,155.0
באקה אל ע'רביה,עירייה,2012,3,143.0
באקה אל ע'רביה,עירייה,2012,4,159.0
באקה אל ע'רביה,עירייה,2013,1,232.0
באקה אל ע'רביה,עירייה,2013,2,332.0
באקה אל ע'רביה,עירייה,2013,3,316.0
באקה אל ע'רביה,עירייה,2013,4,268.0
באקה אל ע'רביה,עירייה,2014,1,451.0
באקה אל ע'רביה,עירייה,2014,2,794.0
באקה אל ע'רביה,עירייה,2014,3,523.0
באקה אל ע'רביה,עירייה,2014,4,487.0
באקה אל ע'רביה,עירייה,2015,1,562.0
באקה אל ע'רביה,עירייה,2015,2,560.0
באקה אל ע'רביה,עירייה,2015,3,644.0
באקה אל ע'רביה,עירייה,2015,4,461.0
באקה אל ע'רביה,עירייה,2016,1,770.0
באקה אל ע'רביה,עירייה,2016,2,611.0
באקה אל ע'רביה,עירייה,2016,3,748.0
באקה אל ע'רביה,עירייה,2016,4,618.0
באקה אל ע'רביה,עירייה,2017,1,896.0
באקה אל ע'רביה,עירייה,2017,2,279.0
באר יעקב,מועצה מקומית,2012,1,247.0
באר יעקב,מועצה מקומית,2012,2,83.0
באר יעקב,מועצה מקומית,2012,3,85.0
באר יעקב,מועצה מקומית,2012,4,92.0
באר יעקב,מועצה מקומית,2013,1,111.0
באר יעקב,מועצה מקומית,2013,2,134.0
באר יעקב,מועצה מקומית,2013,3,153.0
באר יעקב,מועצה מקומית,2013,4,174.0
באר יעקב,מועצה מקומית,2014,1,270.0
באר יעקב,מועצה מקומית,2014,2,97.0
באר יעקב,מועצה מקומית,2014,3,89.0
באר יעקב,מועצה מקומית,2014,4,66.0
באר יעקב,מועצה מקומית,2015,1,75.0
באר יעקב,מועצה מקומית,2015,2,178.0
באר יעקב,מועצה מקומית,2015,3,198.0
באר יעקב,מועצה מקומית,2015,4,185.0
באר יעקב,מועצה מקומית,2016,1,240.0
באר יעקב,מועצה מקומית,2016,2,242.0
באר יעקב,מועצה מקומית,2016,3,220.0
באר יעקב,מועצה מקומית,2016,4,208.0
באר יעקב,מועצה מקומית,2017,1,271.0
באר יעקב,מועצה מקומית,2017,2,127.0
באר שבע,עירייה,2012,1,1530.0
באר שבע,עירייה,2012,2,1026.0
באר שבע,עירייה,2012,3,1520.0
באר שבע,עירייה,2012,4,2997.0
באר שבע,עירייה,2013,1,2492.0
באר שבע,עירייה,2013,2,2750.0
באר שבע,עירייה,2013,3,2970.0
באר שבע,עירייה,2013,4,2284.0
באר שבע,עירייה,2014,1,2793.0
באר שבע,עירייה,2014,2,2921.0
באר שבע,עירייה,2014,3,2622.0
באר שבע,עירייה,2014,4,2183.0
באר שבע,עירייה,2015,1,3463.0
באר שבע,עירייה,2015,2,3954.0
באר שבע,עירייה,2015,3,2766.0
באר שבע,עירייה,2015,4,2794.0
באר שבע,עירייה,2016,1,3337.0
באר שבע,עירייה,2016,2,2338.0
באר שבע,עירייה,2016,3,2914.0
באר שבע,עירייה,2016,4,2161.0
באר שבע,עירייה,2017,1,3824.0
באר שבע,עירייה,2017,2,1858.0
בית שאן,עירייה,2012,1,294.0
בית שאן,עירייה,2012,2,168.0
בית שאן,עירייה,2012,3,183.0
בית שאן,עירייה,2012,4,236.0
בית שאן,עירייה,2013,1,237.0
בית שאן,עירייה,2013,2,206.0
בית שאן,עירייה,2013,3,151.0
בית שאן,עירייה,2013,4,101.0
בית שאן,עירייה,2014,1,421.0
בית שאן,עירייה,2014,2,88.0
בית שאן,עירייה,2014,3,70.0
בית שאן,עירייה,2014,4,84.0
בית שאן,עירייה,2015,1,185.0
בית שאן,עירייה,2015,2,182.0
בית שאן,עירייה,2015,3,157.0
בית שאן,עירייה,2015,4,47.0
בית שאן,עירייה,2016,1,341.0
בית שאן,עירייה,2016,2,213.0
בית שאן,עירייה,2016,3,453.0
בית שאן,עירייה,2016,4,253.0
בית שאן,עירייה,2017,1,481.0
בית שאן,עירייה,2017,2,111.0
בית שמש,עירייה,2012,1,255.0
בית שמש,עירייה,2012,2,300.0
בית שמש,עירייה,2012,3,306.0
בית שמש,עירייה,2012,4,222.0
בית שמש,עירייה,2013,1,245.0
בית שמש,עירייה,2013,2,226.0
בית שמש,עירייה,2013,3,363.0
בית שמש,עירייה,2013,4,352.0
בית שמש,עירייה,2014,1,435.0
בית שמש,עירייה,2014,2,208.0
בית שמש,עירייה,2014,3,106.0
בית שמש,עירייה,2014,4,275.0
בית שמש,עירייה,2015,1,332.0
בית שמש,עירייה,2015,2,318.0
בית שמש,עירייה,2015,3,396.0
בית שמש,עירייה,2015,4,278.0
בית שמש,עירייה,2016,1,271.0
בית שמש,עירייה,2016,2,264.0
בית שמש,עירייה,2016,3,265.0
בית שמש,עירייה,2016,4,267.0
בית שמש,עירייה,2017,1,409.0
בית שמש,עירייה,2017,2,117.0
ביתר עילית,עירייה,2012,1,60.0
ביתר עילית,עירייה,2012,2,79.0
ביתר עילית,עירייה,2012,3,105.0
ביתר עילית,עירייה,2012,4,72.0
ביתר עילית,עירייה,2013,1,43.0
ביתר עילית,עירייה,2013,2,41.0
ביתר עילית,עירייה,2013,3,189.0
ביתר עילית,עירייה,2013,4,80.0
ביתר עילית,עירייה,2014,1,220.0
ביתר עילית,עירייה,2014,2,72.0
ביתר עילית,עירייה,2014,3,111.0
ביתר עילית,עירייה,2014,4,84.0
ביתר עילית,עירייה,2015,1,78.0
ביתר עילית,עירייה,2015,2,91.0
ביתר עילית,עירייה,2015,3,23.0
ביתר עילית,עירייה,2015,4,45.0
ביתר עילית,עירייה,2016,1,75.0
ביתר עילית,עירייה,2016,2,122.0
ביתר עילית,עירייה,2016,3,204.0
ביתר עילית,עירייה,2016,4,92.0
ביתר עילית,עירייה,2017,1,269.0
ביתר עילית,עירייה,2017,2,98.0
בני ברק,עירייה,2012,1,1772.0
בני ברק,עירייה,2012,2,2037.0
בני ברק,עירייה,2012,3,2454.0
בני ברק,עירייה,2012,4,2634.0
בני ברק,עירייה,2013,1,2070.0
בני ברק,עירייה,2013,2,2080.0
בני ברק,עירייה,2013,3,1922.0
בני ברק,עירייה,2013,4,1584.0
בני ברק,עירייה,2014,1,2985.0
בני ברק,עירייה,2014,2,3176.0
בני ברק,עירייה,2014,3,1748.0
בני ברק,עירייה,2014,4,1780.0
בני ברק,עירייה,2015,1,2059.0
בני ברק,עירייה,2015,2,1945.0
בני ברק,עירייה,2015,3,1781.0
בני ברק,עירייה,2015,4,1264.0
בני ברק,עירייה,2016,1,1607.0
בני ברק,עירייה,2016,2,1478.0
בני ברק,עירייה,2016,3,2017.0
בני ברק,עירייה,2016,4,2119.0
בני ברק,עירייה,2017,1,4578.0
בני ברק,עירייה,2017,2,1688.0
בת ים,עירייה,2012,1,1651.0
בת ים,עירייה,2012,2,1408.0
בת ים,עירייה,2012,3,1981.0
בת ים,עירייה,2012,4,1832.0
בת ים,עירייה,2013,1,1642.0
בת ים,עירייה,2013,2,1590.0
בת ים,עירייה,2013,3,1611.0
בת ים,עירייה,2013,4,1237.0
בת ים,עירייה,2014,1,1483.0
בת ים,עירייה,2014,2,1606.0
בת ים,עירייה,2014,3,1487.0
בת ים,עירייה,2014,4,1387.0
בת ים,עירייה,2015,1,1476.0
בת ים,עירייה,2015,2,1658.0
בת ים,עירייה,2015,3,1830.0
בת ים,עירייה,2015,4,2081.0
בת ים,עירייה,2016,1,2715.0
בת ים,עירייה,2016,2,1682.0
בת ים,עירייה,2016,3,1554.0
בת ים,עירייה,2016,4,1172.0
בת ים,עירייה,2017,1,2599.0
בת ים,עירייה,2017,2,1533.0
ג'דידה מכר,מועצה מקומית,2012,1,51.0
ג'דידה מכר,מועצה מקומית,2012,2,94.0
ג'דידה מכר,מועצה מקומית,2012,3,143.0
ג'דידה מכר,מועצה מקומית,2012,4,55.0
ג'דידה מכר,מועצה מקומית,2013,1,196.0
ג'דידה מכר,מועצה מקומית,2013,2,138.0
ג'דידה מכר,מועצה מקומית,2013,3,112.0
ג'דידה מכר,מועצה מקומית,2013,4,54.0
ג'דידה מכר,מועצה מקומית,2014,1,105.0
ג'דידה מכר,מועצה מקומית,2014,2,118.0
ג'דידה מכר,מועצה מקומית,2014,3,43.0
ג'דידה מכר,מועצה מקומית,2014,4,32.0
ג'דידה מכר,מועצה מקומית,2015,1,110.0
ג'דידה מכר,מועצה מקומית,2015,2,114.0
ג'דידה מכר,מועצה מקומית,2015,3,31.0
ג'דידה מכר,מועצה מקומית,2015,4,56.0
ג'דידה מכר,מועצה מקומית,2016,1,107.0
ג'דידה מכר,מועצה מקומית,2016,2,81.0
ג'דידה מכר,מועצה מקומית,2016,3,192.0
ג'דידה מכר,מועצה מקומית,2016,4,115.0
ג'דידה מכר,מועצה מקומית,2017,1,130.0
ג'דידה מכר,מועצה מקומית,2017,2,35.0
ג'סר א זרקא,מועצה מקומית,2012,1,19.0
ג'סר א זרקא,מועצה מקומית,2012,2,85.0
ג'סר א זרקא,מועצה מקומית,2012,3,89.0
ג'סר א זרקא,מועצה מקומית,2012,4,35.0
ג'סר א זרקא,מועצה מקומית,2013,1,103.0
ג'סר א זרקא,מועצה מקומית,2013,2,107.0
ג'סר א זרקא,מועצה מקומית,2013,3,42.0
ג'סר א זרקא,מועצה מקומית,2013,4,152.0
ג'סר א זרקא,מועצה מקומית,2014,1,196.0
ג'סר א זרקא,מועצה מקומית,2014,2,173.0
ג'סר א זרקא,מועצה מקומית,2014,3,128.0
